time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
10:50	0.0	0.0	0.0	0.0	5000.0	0.0
10:55	0.0	0.0	0.0	0.0	5000.0	0.0
11:00	0.0	0.0	0.0	0.0	5000.0	0.0
11:05	0.0	0.0	0.0	0.0	5000.0	0.0
11:10	0.0	0.0	0.0	0.0	5000.0	0.0
11:15	0.0	0.0	0.0	0.0	5000.0	0.0
11:20	0.0	0.0	0.0	0.0	5000.0	0.0
11:25	0.0	0.0	0.0	0.0	5000.0	0.0
11:30	0.0	0.0	0.0	0.0	5000.0	0.0
11:35	0.0	0.0	0.0	0.0	5000.0	0.0
11:40	0.0	0.0	0.0	0.0	5000.0	0.0
11:45	0.0	0.0	0.0	0.0	5000.0	0.0
11:50	0.0	0.0	0.0	0.0	5000.0	0.0
11:55	0.0	0.0	0.0	0.0	5000.0	0.0
12:00	0.0	0.0	0.0	0.0	5000.0	0.0
12:05	0.0	0.0	0.0	0.0	5000.0	0.0
12:10	0.0	0.0	0.0	0.0	5000.0	0.0
12:15	0.0	0.0	0.0	0.0	5000.0	0.0
12:20	0.0	0.0	0.0	0.0	5000.0	0.0
12:25	0.0	0.0	0.0	0.0	5000.0	0.0
12:30	0.0	0.0	0.0	0.0	5000.0	0.0
12:35	0.0	0.0	0.0	0.0	5000.0	0.0
12:40	0.0	0.0	0.0	0.0	5000.0	0.0
12:45	0.0	0.0	0.0	0.0	5000.0	0.0
12:50	0.0	0.0	0.0	0.0	5000.0	0.0
12:55	0.0	0.0	0.0	0.0	5000.0	0.0
13:00	0.0	0.0	0.0	0.0	5000.0	0.0
13:05	0.0	0.0	0.0	0.0	5000.0	0.0
13:10	0.0	0.0	0.0	0.0	5000.0	0.0
13:15	0.0	0.0	0.0	0.0	5000.0	0.0
13:20	0.0	0.0	0.0	0.0	5000.0	0.0
13:25	0.0	0.0	0.0	0.0	5000.0	0.0
13:30	0.0	0.0	0.0	0.0	5000.0	0.0
13:35	0.0	0.0	0.0	0.0	5000.0	0.0
13:40	0.0	0.0	0.0	0.0	5000.0	0.0
13:45	0.0	0.0	0.0	0.0	5000.0	0.0
13:50	0.0	0.0	0.0	0.0	5000.0	0.0
13:55	0.0	1.0	0.0	0.0	4999.0	0.0
14:00	2.0	10.0	7.0	0.0	4981.0	0.0
14:05	3.0	12.0	36.0	0.0	4949.0	0.0
14:10	7.0	28.0	74.0	0.0	4891.0	0.0
14:15	9.0	48.0	119.0	4.0	4820.0	0.0
14:20	10.0	62.0	186.0	11.0	4731.0	0.0
14:25	21.0	91.0	292.0	15.0	4581.0	1.0
14:30	31.0	108.0	429.0	29.0	4403.0	0.0
14:35	30.0	139.0	585.0	24.0	4222.0	1.0
14:40	42.0	177.0	716.0	45.0	4020.0	1.0
14:45	58.0	177.0	876.0	76.0	3813.0	2.0
14:50	88.0	208.0	999.0	75.0	3630.0	1.0
14:55	132.0	272.0	1131.0	79.0	3386.0	3.0
15:00	184.0	266.0	1343.0	102.0	3105.0	1.0
15:05	252.0	306.0	1482.0	104.0	2856.0	1.0
15:10	350.0	277.0	1653.0	111.0	2609.0	1.0
15:15	449.0	300.0	1677.0	146.0	2428.0	3.0
15:20	611.0	276.0	1711.0	160.0	2242.0	1.0
15:25	694.0	312.0	1780.0	133.0	2081.0	7.0
15:30	817.0	315.0	1880.0	156.0	1832.0	2.0
15:35	841.0	348.0	1960.0	137.0	1714.0	2.0
15:40	909.0	316.0	2050.0	137.0	1588.0	2.0
15:45	1018.0	339.0	2022.0	147.0	1474.0	2.0
15:50	1169.0	300.0	2041.0	161.0	1329.0	4.0
15:55	1202.0	357.0	2019.0	166.0	1256.0	2.0
16:00	1172.0	360.0	2116.0	150.0	1202.0	3.0
16:05	1142.0	344.0	2165.0	169.0	1180.0	2.0
16:10	1139.0	338.0	2185.0	176.0	1162.0	1.0
16:15	1066.0	393.0	2168.0	167.0	1206.0	3.0
16:20	977.0	338.0	2216.0	180.0	1289.0	0.0
16:25	916.0	291.0	2192.0	194.0	1407.0	5.0
16:30	741.0	315.0	2177.0	176.0	1591.0	2.0
16:35	685.0	265.0	2081.0	162.0	1807.0	2.0
16:40	598.0	223.0	1935.0	148.0	2096.0	3.0
16:45	467.0	194.0	1768.0	150.0	2421.0	3.0
16:50	362.0	189.0	1562.0	170.0	2717.0	2.0
16:55	291.0	124.0	1387.0	99.0	3099.0	0.0
17:00	233.0	106.0	1171.0	112.0	3378.0	0.0
17:05	187.0	90.0	974.0	80.0	3669.0	0.0
17:10	156.0	68.0	793.0	65.0	3918.0	0.0
17:15	125.0	65.0	653.0	57.0	4100.0	0.0
17:20	121.0	39.0	525.0	53.0	4262.0	0.0
17:25	101.0	28.0	423.0	37.0	4411.0	0.0
17:30	96.0	34.0	329.0	29.0	4512.0	1.0
17:35	97.0	19.0	270.0	25.0	4589.0	1.0
17:40	60.0	24.0	255.0	13.0	4648.0	0.0
17:45	63.0	11.0	231.0	17.0	4678.0	0.0
17:50	75.0	8.0	187.0	10.0	4720.0	0.0
17:55	65.0	25.0	157.0	13.0	4740.0	0.0
18:00	56.0	16.0	151.0	7.0	4770.0	0.0
18:05	48.0	18.0	130.0	6.0	4798.0	0.0
18:10	45.0	15.0	115.0	6.0	4819.0	0.0
18:15	31.0	9.0	113.0	11.0	4836.0	0.0
18:20	26.0	11.0	93.0	6.0	4864.0	0.0
18:25	16.0	10.0	87.0	5.0	4882.0	0.0
18:30	6.0	8.0	73.0	4.0	4909.0	0.0
18:35	9.0	2.0	53.0	5.0	4931.0	0.0
18:40	8.0	5.0	42.0	5.0	4940.0	0.0
18:45	2.0	4.0	33.0	4.0	4957.0	0.0
18:50	5.0	0.0	20.0	4.0	4971.0	0.0
18:55	3.0	3.0	13.0	0.0	4981.0	0.0
19:00	2.0	1.0	13.0	1.0	4983.0	0.0
19:05	2.0	1.0	12.0	1.0	4984.0	0.0
19:10	1.0	2.0	11.0	0.0	4986.0	0.0
19:15	1.0	0.0	6.0	1.0	4992.0	0.0
19:20	2.0	0.0	3.0	1.0	4994.0	0.0
19:25	3.0	0.0	3.0	0.0	4994.0	0.0
19:30	2.0	1.0	3.0	0.0	4994.0	0.0
19:35	1.0	0.0	4.0	1.0	4994.0	0.0
19:40	0.0	0.0	4.0	0.0	4996.0	0.0
19:45	0.0	0.0	2.0	0.0	4998.0	0.0
19:50	0.0	0.0	0.0	1.0	4999.0	0.0
19:55	0.0	0.0	0.0	0.0	5000.0	0.0
20:00	2.0	0.0	0.0	0.0	4998.0	0.0
20:05	2.0	1.0	0.0	0.0	4997.0	0.0
20:10	0.0	1.0	2.0	0.0	4997.0	0.0
20:15	0.0	0.0	3.0	0.0	4997.0	0.0
20:20	0.0	0.0	2.0	1.0	4997.0	0.0
20:25	1.0	0.0	1.0	0.0	4998.0	0.0
20:30	1.0	0.0	1.0	0.0	4998.0	0.0
20:35	0.0	0.0	1.0	0.0	4999.0	0.0
20:40	1.0	0.0	1.0	0.0	4998.0	0.0
20:45	0.0	1.0	0.0	0.0	4999.0	0.0
20:50	0.0	0.0	1.0	0.0	4999.0	0.0
20:55	0.0	0.0	1.0	0.0	4999.0	0.0
21:00	0.0	0.0	1.0	0.0	4999.0	0.0
21:05	0.0	0.0	1.0	0.0	4999.0	0.0
21:10	0.0	0.0	0.0	0.0	5000.0	0.0
21:15	0.0	0.0	0.0	0.0	5000.0	0.0
