Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
1118;453641.2561993138;5731958.623990533;0;0;0;0;0;0;0;5;1;0;0;0;0;0;1;2;5;1;1;0;0;0;0;0
4629;450307.33432676387;5733625.6903719995;0;0;0;0;0;0;4;5;3;1;0;0;0;0;1;2;5;0;0;0;0;0;0;0
10759;455594.4881871098;5729078.321793958;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
3411;455760.8499617891;5734792.379564468;0;0;0;0;0;0;4;2;2;0;0;0;0;0;1;3;5;1;0;0;0;0;0;0
2442;456166.44654884515;5731881.923899529;0;0;0;0;0;0;2;2;3;0;0;0;0;0;1;5;4;0;0;0;0;0;0;0
5831;456065.6934576323;5732049.271401699;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
10870;455367.5925568001;5730747.981376825;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0
3777;454547.9480818009;5735245.818506086;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0
10872;459924.5949980032;5734918.251843795;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0
6805;456378.0328053708;5730263.595953176;0;0;0;0;0;0;3;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
5958;448297.55392139626;5733070.709590326;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4627;447080.75454272464;5733528.314444877;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3670;456286.45601886755;5735343.980628799;0;0;0;0;0;0;1;3;2;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0
4760;452022.2265777541;5733113.69221485;0;0;0;0;0;1;2;4;1;0;0;0;0;0;1;3;5;0;0;0;0;0;0;0
4762;458179.95564182673;5734926.048192048;0;0;0;0;0;0;1;6;7;0;0;0;0;0;0;3;4;1;1;0;0;0;0;0
1011;458316.19959655555;5731880.820953158;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
2461;454076.94460011105;5732917.468230942;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
1130;455137.2502819476;5729103.979321882;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0
10524;447060.3513071598;5731826.9752789475;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1248;452465.5252914656;5731319.05215652;0;0;0;0;0;0;1;3;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
1369;454854.8616454205;5731082.896544688;0;0;0;0;0;0;4;7;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0
6819;456854.95454010076;5732069.489780937;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0
3301;456284.2633006666;5731914.267750741;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
942;457723.2618752764;5729888.044200684;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
4631;454250.18102382054;5733396.8419723855;0;0;0;0;0;0;2;6;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0
4874;452554.05345536623;5739181.925564027;0;0;0;0;0;0;1;1;3;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0
6930;457336.89226612914;5736261.304392491;0;0;0;0;0;0;3;6;1;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0
702;453861.03626734787;5732533.73334265;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
3666;455061.7433063756;5734312.705594389;0;0;0;0;0;0;2;5;1;1;0;0;0;0;1;1;3;1;0;0;0;0;0;0
5723;452891.72355034074;5734389.144671154;0;0;0;0;0;0;2;3;2;0;0;0;0;0;2;4;7;2;0;0;0;0;0;0
4634;453364.44289631065;5731535.918725797;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;3;2;1;0;0;0;0;0;0
3668;455156.8195620239;5734367.136920858;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0
