person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
12052000_12052000_24674;6949.589236003743;5587.816710936051;1.2437038642306457;1411.0;480.0;2.939583333333333
12052000_12052000_4862;8715.883166074638;6514.342995871018;1.337952756187235;1874.0;471.0;3.978768577494692
12052000_12052000_2432;4844.212937780114;4844.212937780114;1.0;703.0;480.0;1.4645833333333333
12052000_12052000_26435;17150.19466926663;8972.318847973644;1.9114562199425094;2141.0;648.0;3.3040123456790123
12052000_12052000_25702;9714.651813932143;5507.277219070509;1.7639663716749916;1699.0;345.0;4.92463768115942
12052000_12052000_8557;11061.135733417426;10030.149156310223;1.1027887582766986;1270.0;605.0;2.0991735537190084
12052000_12052000_17155;6717.40767645851;5228.705549033113;1.2847171471915617;1216.0;260.0;4.676923076923077
12052000_12052000_21111;16501.726904889096;8146.595187843087;2.0255979982304897;2210.0;671.0;3.293591654247392
12052000_12052000_11873;2998.970362665012;2029.418829872171;1.4777483674249299;713.0;228.0;3.1271929824561404
12052000_12052000_25187;13145.295453049985;9122.220691577704;1.4410192317739774;1710.0;685.0;2.4963503649635035
12052000_12052000_2691;3296.5428675753105;3296.5428675753105;1.0;643.0;296.0;2.1722972972972974
12052000_12052000_20512;6318.573054674782;6318.573054674782;1.0;695.0;529.0;1.3137996219281665
12052000_12052000_5131;3400.892308145894;3400.892308145894;1.0;535.0;258.0;2.0736434108527133
12052000_12052000_4349;5317.590479519894;3343.8377953334857;1.5902656782398032;955.0;319.0;2.993730407523511
12052000_12052000_26911;1964.2807225776794;1964.2807225776794;1.0;844.0;166.0;5.0843373493975905
12052000_12052000_23620;3099.6908203212797;3099.6908203212797;1.0;409.0;248.0;1.6491935483870968
12052000_12052000_11230;13464.903026225687;7857.231884367997;1.7136955131761074;1918.0;556.0;3.449640287769784
12052000_12052000_4648;9738.496453196733;5174.816313564774;1.8819018614572192;1336.0;364.0;3.67032967032967
12052000_12052000_22169;4364.504503607507;4364.504503607507;1.0;401.0;245.0;1.636734693877551
12052000_12052000_19598;14186.9729089883;11240.494044056488;1.26213072605023;1483.0;673.0;2.2035661218424965
12052000_12052000_4485;3271.4497920544522;2570.9194440311085;1.272482418556428;1358.0;265.0;5.124528301886793
12052000_12052000_28396;23671.309680207884;11339.898585348625;2.087435747511154;2162.0;645.0;3.351937984496124
12052000_12052000_20063;21309.299328187582;7708.010142109606;2.764565553925885;1944.0;499.0;3.8957915831663326
12052000_12052000_11536;6647.4158544288275;5185.423485094174;1.2819427137508137;1384.0;284.0;4.873239436619718
12052000_12052000_19137;6652.370050192477;3259.9502048702084;2.0406354797242474;890.0;270.0;3.2962962962962963
12052000_12052000_10288;9030.730075233305;4341.3860060456045;2.0801490728208796;1075.0;440.0;2.4431818181818183
12052000_12052000_5862;22061.1361764859;11201.247183133773;1.9695249837629112;2468.0;858.0;2.8764568764568765
12052000_12052000_30069;7151.1120813776715;7151.1120813776715;1.0;1559.0;469.0;3.3240938166311302
12052000_12052000_13977;9681.40588778125;6244.639774722577;1.5503545820161184;1965.0;493.0;3.9858012170385395
12052000_12052000_3672;5182.377065200955;4659.355687178574;1.112251867669517;1620.0;316.0;5.1265822784810124
12052000_12052000_5557;10763.697958650402;6204.9051647540455;1.734707892038679;1656.0;501.0;3.305389221556886
12052000_12052000_19833;15899.849710441096;9390.47541737415;1.6931890030853367;2005.0;579.0;3.46286701208981
12052000_12052000_14100;20251.81669040329;6499.431844609867;3.115936465615622;1960.0;511.0;3.835616438356164
12052000_12052000_10344;6270.800157597613;6460.811543031241;0.9705901674784837;1306.0;431.0;3.0301624129930396
12052000_12052000_9946;5769.790434637974;4975.368764496316;1.1596709123976023;668.0;394.0;1.6954314720812182
12052000_12052000_25130;6151.58458160064;3262.7540283896265;1.8853963639535625;1114.0;282.0;3.950354609929078
12052000_12052000_25722;2821.9840698396583;2803.2230428307507;1.0066926629534132;1014.0;238.0;4.260504201680672
